Data/Time, Laser9: 0, Laser10: 0, Laser3: 0, Laser4: 0, Laser5: 0, Laser6: 0, Laser7: 0, Laser8: 0, float, Battery , SetMon, IMon, Temp (f)
07/31/24:17:40:01,0.4868095238095241,0.5504190476190479,0.46141428571428633,0.05994761904761897,0.5158190476190467,0.4617095238095241,0.5572904761904749,0.5472857142857147,1.8464285714285704,3.0000190476190465,0.2848952380952381,0.28415238095238066,74.02454880952382
07/31/24:17:40:11,0.4867358490566045,0.5503584905660386,0.46141698113207624,0.060262264150943344,0.5158150943396221,0.4618471698113209,0.5573188679245267,0.5473245283018879,1.8480292452830183,2.9999924528301873,0.28484905660377363,0.28405660377358455,74.79310094339628
07/31/24:17:40:22,0.48676761904761984,0.5503561904761908,0.4614238095238101,0.060219999999999926,0.5157847619047611,0.46182095238095255,0.5572904761904752,0.5472857142857152,1.84333238095238,3.0000076190476195,0.28491619047619077,0.2840628571428568,74.00869714285703
07/31/24:17:40:32,0.48668380952381035,0.5503409523809525,0.46140857142857206,0.060265714285714214,0.5157999999999991,0.4617438095238099,0.5573057142857134,0.5472933333333343,1.8402295238095223,3.000007619047618,0.2849161904761905,0.2841314285714283,73.6994866666666
07/31/24:17:40:43,0.4867219047619054,0.5503104761904765,0.4614390476190484,0.06009809523809519,0.5158228571428567,0.4617057142857147,0.5573514285714278,0.5472628571428583,1.837503809523808,3.0000228571428567,0.28490857142857146,0.2841238095238087,74.00526761904757
07/31/24:17:40:53,0.4866761904761911,0.5502800000000005,0.4614314285714292,0.059938095238095145,0.5158076190476182,0.4617361904761907,0.557320952380951,0.547270476190477,1.8385371428571413,3.000030476190476,0.2848323809523811,0.284093333333333,73.69104761904761
07/31/24:17:41:04,0.4866914285714293,0.5503028571428574,0.46141619047619126,0.059793333333333254,0.515784761904761,0.46173619047619074,0.5573514285714272,0.5472247619047627,1.8429361904761903,3.000030476190476,0.2848323809523808,0.28409333333333314,73.21819523809512
07/31/24:17:41:14,0.48669904761904836,0.5503333333333338,0.4614314285714293,0.059976190476190405,0.5157999999999993,0.46165238095238137,0.557267619047618,0.5472247619047621,1.84402,3.0000609523809523,0.2848780952380951,0.2841238095238091,73.12779142857129
07/31/24:17:41:25,0.4867142857142864,0.5503409523809528,0.4613552380952387,0.060006666666666604,0.5157847619047611,0.46168285714285756,0.5572980952380944,0.547270476190477,1.8465466666666654,3.0000457142857138,0.28486285714285714,0.28409333333333286,73.1022257142858
07/31/24:17:41:35,0.48670566037735913,0.5502981132075474,0.46143962264151017,0.0600358490566037,0.5157849056603765,0.4617716981132079,0.5572584905660363,0.5472716981132083,1.8486990566037729,3.000022641509434,0.2848792452830187,0.2841094339622637,73.29482264150936
