Data/Time, Laser9, Laser10, Laser3, Laser4, Laser5, Laser6, Laser7, Laser8, Vin (5), SetMon, IMon, Temp(F), Vin (28)
07/29/24:12:55:03,0.4983428571428573,0.5556238095238096,0.4738333333333338,0.4992761904761909,0.4994476190476195,0.4705404761904762,0.5631238095238096,1.3763500000000002,3.7731642857142864,0.0,0.0,71.83823333333339,17.85321428571429
07/29/24:12:55:14,0.4983961904761904,0.555629523809524,0.47382190476190533,0.499188571428572,0.4994704761904768,0.47039523809523776,0.5630819047619056,1.3698809523809528,3.7763971428571446,0.003662857142857144,0.0036857142857142857,71.74257047619035,17.898095238095237
07/29/24:12:55:24,0.49835047619047607,0.5555609523809529,0.47383714285714335,0.49905904761904823,0.4994019047619053,0.4705390476190473,0.5629828571428583,1.398689523809524,3.83267619047619,1.5846476190476186,1.5588609523809518,72.16203619047623,17.93419047619047
07/29/24:12:55:35,0.4982895238095236,0.5555304761904769,0.47373809523809585,0.4990971428571436,0.4993790476190483,0.4705114285714282,0.5629980952380962,1.3967685714285725,3.8875657142857123,3.31511428571429,3.3139942857142892,72.53799333333329,17.858952380952406
07/29/24:12:55:45,0.49826666666666636,0.5555228571428579,0.4737380952380959,0.49899809523809596,0.49932571428571493,0.4704695238095235,0.5629285714285722,1.3932733333333331,3.846650476190476,2.2392809523809514,2.285549523809522,72.41758571428578,17.988380952380968
07/29/24:12:55:56,0.49820571428571386,0.5554923809523814,0.4737076190476197,0.49894476190476267,0.4993180952380957,0.47035714285714264,0.5629371428571437,1.367151428571428,3.7798961904761925,0.09083428571428569,0.11752380952380959,72.07958190476194,17.944190476190478
07/29/24:12:56:06,0.4982113207547168,0.5555226415094348,0.47361698113207623,0.4989433962264158,0.4992528301886798,0.4703981132075469,0.5629650943396234,1.3737122641509434,3.77826603773585,0.0007330188679245282,0.001007547169811321,71.64683962264151,17.824433962264145
07/29/24:12:56:17,0.49819047619047585,0.5555000000000005,0.4736390476190484,0.4989142857142865,0.4991961904761912,0.47044095238095207,0.5628666666666677,1.4107742857142853,3.8534828571428577,2.2762476190476186,2.247353333333331,71.48694571428565,17.98123809523809
07/29/24:12:56:27,0.4980914285714281,0.5554847619047624,0.4736161904761912,0.49890666666666744,0.4991733333333339,0.47042285714285675,0.5629295238095248,1.4266828571428576,3.8907561904761905,3.312984761904767,3.3078419047619083,71.6733257142857,17.88123809523809
07/29/24:12:56:38,0.49811428571428523,0.5554923809523822,0.4736238095238103,0.49892190476190545,0.49910476190476244,0.4703733333333331,0.5628761904761914,1.3803933333333338,3.88786,3.3158000000000047,3.3158000000000047,71.86625904761905,17.830666666666684
07/29/24:12:56:48,0.49811428571428523,0.555454285714286,0.47352476190476256,0.4988761904761912,0.49907428571428647,0.4703828571428569,0.5628514285714301,1.3453999999999988,3.8857723809523788,3.3158000000000047,3.3158000000000047,72.07362285714294,17.85685714285716
07/29/24:12:56:59,0.4980685714285707,0.5554009523809528,0.47342571428571506,0.49883809523809597,0.499036190476191,0.47034095238095214,0.5628352380952393,1.3776190476190466,3.8888619047619057,3.3158000000000047,3.3158000000000047,72.3282695238095,17.88533333333335
07/29/24:12:57:09,0.49808380952380904,0.5554314285714292,0.4735095238095245,0.4988914285714294,0.4989904761904769,0.47037523809523774,0.5628209523809531,1.42094,3.8903828571428583,3.3156923809523855,3.3157695238095286,71.89131047619048,17.869142857142865
07/29/24:12:57:20,0.4980761904761899,0.5554085714285721,0.4734790476190483,0.4988076190476196,0.49898285714285784,0.47029619047619026,0.5628276190476201,1.4312361904761897,3.8817847619047594,3.25528,3.248639047619048,71.63255428571424,18.064952380952395
07/29/24:12:57:30,0.49804571428571365,0.5553857142857143,0.4732657142857149,0.49877714285714353,0.49896000000000074,0.4702276190476188,0.562786666666668,1.3975438095238095,3.819209523809525,1.4176638095238094,1.379286666666666,71.63807619047611,17.87209523809522
07/29/24:12:57:41,0.49800761904761853,0.555439047619048,0.4733723809523816,0.49878476190476273,0.4989752380952388,0.4702647619047616,0.5628419047619058,1.378500000000001,3.7836485714285715,0.0004161904761904761,0.00031523809523809526,72.12851333333332,17.82961904761905
